Country,Capital,Latitude,Longitude
Afghanistan,Kabul,34.47,69.18
Albania,Tirane,41.30,19.82
Algeria,Algiers,36.70,3.13
American Samoa,Pago Pago,-14.27,-170.72
Andorra,Andorra la Vella,42.52,1.53
Angola,Luanda,-8.83,13.25
Antigua and Barbuda,West Indies,17.33,-61.80
Argentina,Buenos Aires,-36.50,-60.00
Armenia,Yerevan,40.17,44.52
Aruba,Oranjestad,12.53,-70.03
Australia,Canberra,-35.25,149.13
Austria,Vienna,48.20,16.37
Azerbaijan,Baku,40.48,49.93
Bahamas,Nassau,25.08,-77.33
Bahrain,Manama,26.17,50.50
Bangladesh,Dhaka,23.72,90.43
Barbados,Bridgetown,13.08,-59.50
Belarus,Minsk,53.87,27.50
Belgium,Brussels,50.85,4.35
Belize,Belmopan,17.30,-88.50
Benin,Porto Novo (constitutional) / Cotonou (seat of government),6.38,2.70
Bhutan,Thimphu,27.52,89.75
Bolivia,La Paz (administrative) / Sucre (legislative),-16.33,-68.17
Bosnia and Herzegovina,Sarajevo,43.87,18.43
Botswana,Gaborone,-24.75,25.95
Brazil,Brasilia,-15.78,-47.92
British Virgin Islands,Road Town,18.45,-64.62
Brunei Darussalam,Bandar Seri Begawan,4.87,115.00
Bulgaria,Sofia,42.75,23.33
Burkina Faso,Ouagadougou,12.25,-1.50
Burundi,Bujumbura,-3.27,29.30
Cambodia,Phnom Penh,11.55,104.92
Cameroon,Yaounde,3.83,11.58
Canada,Ottawa,45.45,-75.70
Cape Verde,Praia,15.03,-23.57
Cayman Islands,George Town,19.33,-81.40
Central African Republic,Bangui,4.38,18.58
Chad,N'Djamena,12.17,14.98
Chile,Santiago,-33.40,-70.67
China,Beijing,39.92,116.33
Colombia,Bogota,4.57,-74.00
Comros,Moroni,-11.67,43.27
Congo,Brazzaville,-4.15,15.20
Costa Rica,San Jose,9.92,-84.03
Cote d'Ivoire,Yamoussoukro,6.82,-5.28
Croatia,Zagreb,45.83,15.97
Cuba,Havana,23.13,-82.37
Cyprus,Nicosia,35.17,33.42
Czech Republic,Prague,50.08,14.37
Democratic Republic of the Congo,Kinshasa,-4.33,15.25
Denmark,Copenhagen,55.68,12.57
Djibouti,Djibouti,11.13,42.33
Dominica,Roseau,15.33,-61.40
Dominican Republic,Santo Domingo,18.50,-69.98
East Timor,Dili,-8.48,125.57
Ecuador,Quito,-0.25,-78.58
Egypt,Cairo,30.02,31.23
El Salvador,San Salvador,13.67,-89.17
Equatorial Guinea,Malabo,3.75,8.83
Eritrea,Asmara,15.32,38.92
Estonia,Tallinn,59.37,24.80
Ethiopia,Addis Ababa,9.03,38.70
Falkland Islands (Malvinas),Stanley,-51.67,-59.85
Faroe Islands,Torshavn,62.08,-6.93
Fiji,Suva,-18.10,178.50
Finland,Helsinki,60.25,25.05
France,Paris,48.83,2.33
French Guiana,Cayenne,5.08,-52.30
French Polynesia,Papeete,-17.53,-149.57
Gabon,Libreville,0.42,9.43
Gambia,Banjul,13.47,-16.67
Georgia,T'bilisi,41.72,44.83
Germany,Berlin,52.50,13.42
Ghana,Accra,5.58,-0.10
Greece,Athens,37.97,23.77
Greenland,Nuuk,64.17,-51.58
Guadeloupe,Basse-Terre,16.00,-61.73
Guatemala,Guatemala,14.67,-90.37
Guernsey,St. Peter Port,49.43,-2.55
Guinea,Conakry,9.48,-13.82
Guinea-Bissau,Bissau,11.75,-15.75
Guyana,Georgetown,6.83,-58.20
Haiti,Port-au-Prince,18.67,-72.33
Hawaii,Honolulu,21.30,-157.78
Heard Island and McDonald Islands,,53.00,74.00
Honduras,Tegucigalpa,14.08,-87.23
Hungary,Budapest,47.48,19.08
Iceland,Reykjavik,64.17,-21.95
India,New Delhi,28.62,77.22
Indonesia,Jakarta,-6.15,106.82
Iran (Islamic Republic of),Tehran,35.73,51.50
Iran,Tehran,35.6892,51.3890
Iraq,Baghdad,33.33,44.50
Ireland,Dublin,53.35,-6.25
Israel,Jerusalem,31.71,35.17
Italy,Rome,41.90,12.48
Jamaica,Kingston,18.00,-76.83
Japan,Tokyo,35.67,139.75
Jordan,Amman,31.95,35.87
Kazakhstan,Astana,51.17,71.50
Kenya,Nairobi,-1.28,36.80
Kiribati,Tarawa,1.50,173.00
Kuwait,Kuwait,29.50,48.00
Kyrgyzstan,Bishkek,42.90,74.77
Lao People's Democratic Republic,Vientiane,17.97,102.60
Latvia,Riga,56.88,24.13
Lebanon,Beirut,33.88,35.52
Lesotho,Maseru,-29.30,27.50
Liberia,Monrovia,6.30,-10.78
Libyan Arab Jamahiriya,Tripoli,32.82,13.12
Liechtenstein,Vaduz,47.13,9.52
Lithuania,Vilnius,54.63,25.32
Luxembourg,Luxembourg,49.62,6.15
"Macao, China",Macau,22.20,113.55
Madagascar,Antananarivo,-18.92,47.52
Macedonia (Former Yugoslav Republic),Skopje,42.02,21.43
Malawi,Lilongwe,-14.00,33.80
Malaysia,Kuala Lumpur,3.15,101.68
Maldives,Male,4.00,73.47
Mali,Bamako,12.57,-7.92
Malta,Valletta,35.90,14.52
Martinique,Fort-de-France,14.60,-61.03
Mauritania,Nouakchott,20.17,-57.50
Mayotte,Mamoudzou,-12.80,45.23
Mexico,Mexico,19.33,-99.17
Micronesia (Federated States of),Palikir,6.92,158.15
"Moldova, Republic of",Chisinau,47.03,28.83
Mozambique,Maputo,-25.97,32.53
Myanmar,Yangon,16.75,96.33
Namibia,Windhoek,-22.58,17.07
Nepal,Kathmandu,27.75,85.33
Netherlands,Amsterdam / The Hague (seat of Government),52.38,4.90
Netherlands Antilles,Willemstad,12.08,-69.00
New Caledonia,Noumea,-22.28,166.50
New Zealand,Wellington,-41.32,174.77
Nicaragua,Managua,12.10,-86.33
Niger,Niamey,13.45,2.10
Nigeria,Abuja,9.08,7.53
Norfolk Island,Kingston,-45.33,168.72
North Korea,Pyongyang,39.15,125.50
Northern Mariana Islands,Saipan,15.20,145.75
Norway,Oslo,59.92,10.75
Oman,Masqat,23.62,58.60
Pakistan,Islamabad,33.67,73.17
Palau,Koror,7.33,134.47
Palestine,Ramallah,31.92,35.20
Panama,Panama,9.00,-79.42
Papua New Guinea,Port Moresby,-9.40,147.13
Paraguay,Asuncion,-25.17,-57.50
Peru,Lima,-12.00,-77.00
Philippines,Manila,14.67,121.05
Poland,Warsaw,52.22,21.00
Portugal,Lisbon,38.70,-9.17
Puerto Rico,San Juan,18.47,-66.12
Qatar,Doha,25.25,51.58
Republic of Korea,Seoul,37.52,126.97
Romania,Bucuresti,44.45,26.17
Russia,Moscow,55.7558,37.6173
Russian Federation,Moskva,55.75,37.58
Rawanda,Kigali,-1.98,30.07
Saint Kitts and Nevis,Basseterre,17.28,-62.72
Saint Lucia,Castries,14.03,-60.97
Saint Pierre and Miquelon,Saint-Pierre,46.77,-56.20
Saint Vincent and the Grenadines,Kingstown,13.17,-61.17
Samoa,Apia,-13.83,-171.83
Scotland,Edinburgh,55.95,-3.32
San Marino,San Marino,43.92,12.50
Sao Tome and Principe,Sao Tome,0.17,6.65
Saudi Arabia,Riyadh,24.68,46.70
Senegal,Dakar,14.57,-17.48
Serbia,Belgrade,44.83,20.00
Sierra Leone,Freetown,8.50,-13.28
Slovakia,Bratislava,48.17,17.12
Slovenia,Ljubljana,46.07,14.55
Solomon Islands,Honiara,-9.45,159.95
Somalia,Mogadishu,2.03,45.42
South Africa,Pretoria (administrative) / Cape Town (legislative) / Bloemfontein (judicial),-25.73,28.20
South Korea,Seoul,37.95,126.98
Spain,Madrid,40.42,-3.75
Sudan,Khartoum,15.52,32.58
Suriname,Paramaribo,5.83,-55.17
Swaziland,Mbabane (administrative),-26.30,31.10
Sweden,Stockholm,59.33,18.05
Switzerland,Bern,46.95,7.47
Syrian Arab Republic,Damascus,33.50,36.30
Tajikistan,Dushanbe,38.55,68.80
Thailand,Bangkok,13.75,100.58
Togo,Lome,6.15,1.33
Tonga,Nuku'alofa,-21.17,-174.00
Tunisia,Tunis,36.83,10.18
Turkey,Ankara,39.95,32.90
Turkmenistan,Ashgabat,38.00,57.83
Tuvalu,Funafuti,-8.52,179.22
Trinidad and Tobago,Port of Spain,10.6515,-61.2225
Uganda,Kampala,0.33,32.50
Ukraine,Kiev (Russia),50.50,30.47
United Arab Emirates,Abu Dhabi,24.47,54.37
United Kingdom,London,51.50,-0.12
United Kingdom of Great Britain and Northern Ireland,London,51.60,-0.08
United Republic of Tanzania,Dodoma,-6.13,35.75
United States,Washington D.C.,38.88,-77.00
United States of America,Washington DC,39.91,-77.03
United States of Virgin Islands,Charlotte Amalie,18.35,-64.93
Uruguay,Montevideo,-34.83,-56.18
Uzbekistan,Tashkent,41.33,69.17
Vanuatu,Port-Vila,-17.75,168.30
Venezuela,Caracas,10.50,-66.92
Viet Nam,Hanoi,21.08,105.92
Yugoslavia,Belgrade,44.83,20.62
Zambia,Lusaka,-15.47,28.27
Zimbabwe,Harare,-17.72,31.03
